customer_id,customer_name,email,join_date
661,Customer_399,customer59@example.com,2022-01-19
260,Customer_134,customer88@example.com,2022-01-11
875,Customer_869,customer506@example.com,2022-01-26
972,Customer_120,customer881@example.com,2022-01-28
718,Customer_794,customer917@example.com,2022-01-22
311,Customer_887,customer11@example.com,2022-01-29
191,Customer_82,customer350@example.com,2022-01-15
632,Customer_287,customer155@example.com,2022-01-23
636,Customer_828,customer282@example.com,2022-01-07
993,Customer_931,customer612@example.com,2022-01-15
142,Customer_671,customer780@example.com,2022-01-02
520,Customer_606,customer530@example.com,2022-01-14
661,Customer_125,customer721@example.com,2022-01-04
599,Customer_970,customer335@example.com,2022-01-02
48,Customer_405,customer758@example.com,2022-01-03
931,Customer_705,customer163@example.com,2022-01-25
791,Customer_311,customer254@example.com,2022-01-19
714,Customer_344,customer155@example.com,2022-01-30
925,Customer_57,customer391@example.com,2022-01-30
705,Customer_680,customer939@example.com,2022-01-24
320,Customer_145,customer653@example.com,2022-01-05
276,Customer_400,customer719@example.com,2022-01-15
699,Customer_488,customer690@example.com,2022-01-20
772,Customer_472,customer131@example.com,2022-01-11
940,Customer_639,customer60@example.com,2022-01-24
451,Customer_520,customer411@example.com,2022-01-05
209,Customer_27,customer498@example.com,2022-01-25
61,Customer_131,customer330@example.com,2022-01-29
104,Customer_644,customer615@example.com,2022-01-31
320,Customer_326,customer365@example.com,2022-01-15
553,Customer_141,customer868@example.com,2022-01-27
19,Customer_859,customer289@example.com,2022-01-14
662,Customer_911,customer474@example.com,2022-01-05
536,Customer_295,customer68@example.com,2022-01-05
140,Customer_407,customer699@example.com,2022-01-28
719,Customer_453,customer840@example.com,2022-01-27
299,Customer_782,customer634@example.com,2022-01-19
227,Customer_945,customer332@example.com,2022-01-06
525,Customer_858,customer510@example.com,2022-01-10
809,Customer_885,customer853@example.com,2022-01-24
151,Customer_780,customer959@example.com,2022-01-22
611,Customer_97,customer412@example.com,2022-01-03
120,Customer_572,customer8@example.com,2022-01-29
393,Customer_610,customer82@example.com,2022-01-12
418,Customer_509,customer695@example.com,2022-01-11
952,Customer_601,customer149@example.com,2022-01-12
129,Customer_675,customer625@example.com,2022-01-26
529,Customer_770,customer849@example.com,2022-01-03
